id,book name,author,rating,reviews count,price,reading age,print length,publishing date,genre,log_reviews,year,month,publishing_date,year_published,month_published,quarter_published,days_since_published,is_recent,author_avg_reviews,author_median_reviews,author_book_count,author_reviews_std,author_avg_rating,genre_avg_reviews,genre_median_reviews,genre_book_count,price_per_page,is_expensive,rating_normalized,high_rating,rating_price_interaction,author_genre_popularity,format_Board book,format_Cards,format_Hardcover,format_Paperback,price_cat_Budget,price_cat_Standard,price_cat_Premium,price_cat_Luxury
57,How to Catch a Dinosaur,Adam Wallace,4.8,18031,5.6,3 years and up,40.0,2019-09-03,Reading & Writing,9.799903236279558,2019.0,9.0,2019-09-03,2019.0,9.0,3.0,2400.0,0,18031.0,18031.0,1,,4.8,49575.33,47458.0,18,0.13999999999999999,0,0.8749999999999994,1,26.88,893892775.23,False,False,True,False,True,False,False,False
58,Ugly Love: A Novel,Colleen Hoover,4.6,165631,8.91,,336.0,2014-08-05,Fiction & Action & Adventure,12.017523738980463,2014.0,8.0,2014-08-05,2014.0,8.0,3.0,4255.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.02651785714285714,0,0.6249999999999994,1,40.986,63548035002.816,False,False,False,True,True,False,False,False
59,If Animals Kissed Good Night,Ann Whitford Paul,4.8,75734,4.23,baby and up,34.0,2014-06-03,Reading & Writing,11.234995683961126,2014.0,6.0,2014-06-03,2014.0,6.0,2.0,4318.0,0,75734.0,75734.0,1,,4.8,49575.33,47458.0,18,0.12441176470588236,0,0.8749999999999994,1,20.304000000000002,3754538042.2200003,True,False,False,False,True,False,False,False
60,Happy Place,Emily Henry,4.2,107168,12.29,,400.0,2023-04-25,Fiction & Action & Adventure,11.582162306694022,2023.0,4.0,2023-04-25,2023.0,4.0,2.0,1070.0,0,107168.0,107168.0,1,,4.2,199796.88,165631.0,33,0.030725,1,0.12500000000000056,0,51.618,21411832035.84,False,False,True,False,False,True,False,False
61,Twisted Games,Ana Huang,4.4,108327,9.74,,448.0,2022-09-27,Romance,11.59291894066266,2022.0,9.0,2022-09-27,2022.0,9.0,3.0,1280.0,0,125499.0,125499.0,2,24284.88,4.3,108327.0,108327.0,1,0.02174107142857143,0,0.37500000000000056,0,42.856,13594930173.0,False,False,False,True,True,False,False,False
62,Chicka Chicka Boom Boom,"Bill Martin Jr.,  John Archambault , Lois Ehlert",4.9,41314,4.17,1 - 2 years,36.0,2012-01-01,Reading & Writing,10.628980909135285,2012.0,1.0,2012-01-01,2012.0,1.0,1.0,5202.0,0,41314.0,41314.0,1,,4.9,49575.33,47458.0,18,0.11583333333333333,0,1.0,1,20.433,2048155183.6200001,True,False,False,False,True,False,False,False
63,Hello Beautiful (Oprah's Book Club): A Novel,Ann Napolitano,4.4,109707,13.97,,400.0,2023-03-14,Fiction & Action & Adventure,11.605577569766599,2023.0,3.0,2023-03-14,2023.0,3.0,1.0,1112.0,0,109707.0,109707.0,1,,4.4,199796.88,165631.0,33,0.034925000000000005,1,0.37500000000000056,0,61.46800000000001,21919116314.16,False,False,True,False,False,True,False,False
64,The Democrat Party Hates America,Mark R. Levin,4.8,5751,13.47,,400.0,2023-09-19,Politics & Social Sciences,8.657302899400882,2023.0,9.0,2023-09-19,2023.0,9.0,3.0,923.0,0,5751.0,5751.0,1,,4.8,48087.25,49611.5,4,0.033675000000000004,1,0.8749999999999994,1,64.656,276549774.75,False,False,True,False,False,True,False,False
65,A Little Life,Hanya Yanagihara,4.5,86622,9.25,,832.0,2016-01-26,Fiction & Action & Adventure,11.369320648202583,2016.0,1.0,2016-01-26,2016.0,1.0,1.0,3716.0,0,86622.0,86622.0,1,,4.5,199796.88,165631.0,33,0.011117788461538462,0,0.5,1,41.625,17306805339.36,False,False,False,True,True,False,False,False
66,Meditations,Marcus Aurelius,4.8,18227,8.18,,272.0,2003-05-06,Politics & Social Sciences,9.810714152383774,2003.0,5.0,2003-05-06,2003.0,5.0,2.0,8364.0,0,18227.0,18227.0,1,,4.8,48087.25,49611.5,4,0.030073529411764704,0,0.8749999999999994,1,39.263999999999996,876486305.75,False,False,False,True,True,False,False,False
67,Holly,Stephen King,4.5,43046,13.98,,464.0,2023-09-05,Mystery & Thriller & Suspense,10.670047821016515,2023.0,9.0,2023-09-05,2023.0,9.0,3.0,937.0,0,43046.0,43046.0,1,,4.5,243347.0,146289.5,6,0.030129310344827586,1,0.5,1,62.910000000000004,10475114962.0,False,False,True,False,False,True,False,False
68,The Heaven & Earth Grocery Store,James McBride,4.4,73210,15.05,,400.0,2023-08-08,Fiction & Action & Adventure,11.201100961883556,2023.0,8.0,2023-08-08,2023.0,8.0,3.0,965.0,0,73210.0,73210.0,1,,4.4,199796.88,165631.0,33,0.037625,1,0.37500000000000056,0,66.22000000000001,14627129584.800001,False,False,True,False,False,False,True,False
